location_id,bank_name,location_type,latitude,longitude,address,h3_index,historical_fraud_count,is_active
ATM_HDFC_001,HDFC Bank,ATM,28.636814,77.210577,"HDFC ATM, Near Connaught Place, Central Delhi, Delhi NCR",891f194c2ffff,0,True
ATM_HDFC_002,HDFC Bank,Banking_Correspondent,28.629782,77.205415,"HDFC Banking_Correspondent, Near Connaught Place, Central Delhi, Delhi NCR",891f1945dffff,2,True
ATM_PNB_003,Punjab National Bank,Banking_Correspondent,28.629729,77.215481,"PNB Banking_Correspondent, Near Connaught Place, Central Delhi, Delhi NCR",891f19457ffff,0,True
ATM_ICICI_004,ICICI Bank,Branch,28.627986,77.208432,"ICICI Branch, Near Connaught Place, Central Delhi, Delhi NCR",891f19430ffff,8,True
ATM_KOTAK_005,Kotak Mahindra Bank,ATM,28.628398,77.212955,"KOTAK ATM, Near Connaught Place, Central Delhi, Delhi NCR",891f19444ffff,0,True
ATM_HDFC_006,HDFC Bank,Branch,28.622234,77.211736,"HDFC Branch, Near Connaught Place, Central Delhi, Delhi NCR",891f194e3ffff,1,True
ATM_HDFC_007,HDFC Bank,ATM,28.635048,77.223254,"HDFC ATM, Near Connaught Place, Central Delhi, Delhi NCR",891f194bfffff,7,True
ATM_KOTAK_008,Kotak Mahindra Bank,ATM,28.630475,77.224719,"KOTAK ATM, Near Connaught Place, Central Delhi, Delhi NCR",891f19460ffff,1,True
ATM_AXIS_009,Axis Bank,ATM,28.633901,77.208807,"AXIS ATM, Near Connaught Place, Central Delhi, Delhi NCR",891f19490ffff,0,True
ATM_AXIS_010,Axis Bank,Banking_Correspondent,28.645832,77.185783,"AXIS Banking_Correspondent, Near Karol Bagh, Central Delhi, Delhi NCR",891f19459ffff,3,True
ATM_SBI_011,State Bank of India,ATM,28.649826,77.179589,"SBI ATM, Near Karol Bagh, Central Delhi, Delhi NCR",891f19493ffff,5,True
ATM_BOB_012,Bank of Baroda,ATM,28.65542,77.187495,"BOB ATM, Near Karol Bagh, Central Delhi, Delhi NCR",891f194fbffff,4,True
ATM_ICICI_013,ICICI Bank,ATM,28.65739,77.190935,"ICICI ATM, Near Karol Bagh, Central Delhi, Delhi NCR",891f1941effff,1,True
ATM_KOTAK_014,Kotak Mahindra Bank,ATM,28.645825,77.201941,"KOTAK ATM, Near Karol Bagh, Central Delhi, Delhi NCR",891f19459ffff,0,True
ATM_HDFC_015,HDFC Bank,ATM,28.654804,77.19701,"HDFC ATM, Near Karol Bagh, Central Delhi, Delhi NCR",891f194e5ffff,0,True
ATM_UBI_016,Union Bank of India,Banking_Correspondent,28.646531,77.191277,"UBI Banking_Correspondent, Near Karol Bagh, Central Delhi, Delhi NCR",891f1946fffff,6,True
ATM_AXIS_017,Axis Bank,ATM,28.643454,77.188434,"AXIS ATM, Near Karol Bagh, Central Delhi, Delhi NCR",891f1943cffff,1,True
ATM_ICICI_018,ICICI Bank,Banking_Correspondent,28.661078,77.198892,"ICICI Banking_Correspondent, Near Karol Bagh, Central Delhi, Delhi NCR",891f19456ffff,2,True
ATM_ICICI_019,ICICI Bank,ATM,28.661975,77.230945,"ICICI ATM, Near Chandni Chowk, North Delhi, Delhi NCR",891f19456ffff,5,True
ATM_BOB_020,Bank of Baroda,Branch,28.645628,77.240298,"BOB Branch, Near Chandni Chowk, North Delhi, Delhi NCR",891f19450ffff,4,True
ATM_PNB_021,Punjab National Bank,Banking_Correspondent,28.666033,77.220056,"PNB Banking_Correspondent, Near Chandni Chowk, North Delhi, Delhi NCR",891f194acffff,0,True
ATM_ICICI_022,ICICI Bank,ATM,28.659715,77.240724,"ICICI ATM, Near Chandni Chowk, North Delhi, Delhi NCR",891f19430ffff,2,True
ATM_KOTAK_023,Kotak Mahindra Bank,ATM,28.665636,77.236126,"KOTAK ATM, Near Chandni Chowk, North Delhi, Delhi NCR",891f1949cffff,1,True
ATM_BOB_024,Bank of Baroda,Branch,28.664992,77.228836,"BOB Branch, Near Chandni Chowk, North Delhi, Delhi NCR",891f19484ffff,0,True
ATM_PNB_025,Punjab National Bank,Banking_Correspondent,28.650045,77.219704,"PNB Banking_Correspondent, Near Chandni Chowk, North Delhi, Delhi NCR",891f194abffff,0,True
ATM_SBI_026,State Bank of India,ATM,28.646759,77.223712,"SBI ATM, Near Chandni Chowk, North Delhi, Delhi NCR",891f1946fffff,0,True
ATM_UBI_027,Union Bank of India,ATM,28.662462,77.23738,"UBI ATM, Near Chandni Chowk, North Delhi, Delhi NCR",891f1946dffff,0,True
ATM_BOB_028,Bank of Baroda,Branch,28.678044,77.233732,"BOB Branch, Near Civil Lines, North Delhi, Delhi NCR",891f19469ffff,0,True
ATM_BOB_029,Bank of Baroda,ATM,28.67447,77.217565,"BOB ATM, Near Civil Lines, North Delhi, Delhi NCR",891f19429ffff,1,True
ATM_UBI_030,Union Bank of India,ATM,28.688239,77.214809,"UBI ATM, Near Civil Lines, North Delhi, Delhi NCR",891f19406ffff,5,True
ATM_SBI_031,State Bank of India,ATM,28.68938,77.233369,"SBI ATM, Near Civil Lines, North Delhi, Delhi NCR",891f19419ffff,1,True
ATM_KOTAK_032,Kotak Mahindra Bank,ATM,28.672622,77.213052,"KOTAK ATM, Near Civil Lines, North Delhi, Delhi NCR",891f19405ffff,1,True
ATM_UBI_033,Union Bank of India,ATM,28.673178,77.218225,"UBI ATM, Near Civil Lines, North Delhi, Delhi NCR",891f1941affff,2,True
ATM_BOB_034,Bank of Baroda,ATM,28.670103,77.224443,"BOB ATM, Near Civil Lines, North Delhi, Delhi NCR",891f194e0ffff,5,True
ATM_HDFC_035,HDFC Bank,ATM,28.670507,77.214631,"HDFC ATM, Near Civil Lines, North Delhi, Delhi NCR",891f194e6ffff,4,True
ATM_PNB_036,Punjab National Bank,Banking_Correspondent,28.682079,77.227865,"PNB Banking_Correspondent, Near Civil Lines, North Delhi, Delhi NCR",891f194a3ffff,2,True
ATM_BOB_037,Bank of Baroda,ATM,28.708494,77.196189,"BOB ATM, Near Model Town, North Delhi, Delhi NCR",891f19444ffff,1,True
ATM_AXIS_038,Axis Bank,Branch,28.710956,77.197045,"AXIS Branch, Near Model Town, North Delhi, Delhi NCR",891f19465ffff,1,True
ATM_HDFC_039,HDFC Bank,ATM,28.715828,77.191141,"HDFC ATM, Near Model Town, North Delhi, Delhi NCR",891f194bfffff,1,True
ATM_PNB_040,Punjab National Bank,ATM,28.71027,77.189516,"PNB ATM, Near Model Town, North Delhi, Delhi NCR",891f1946dffff,1,True
ATM_SBI_041,State Bank of India,Banking_Correspondent,28.710586,77.194921,"SBI Banking_Correspondent, Near Model Town, North Delhi, Delhi NCR",891f19462ffff,7,True
ATM_HDFC_042,HDFC Bank,Banking_Correspondent,28.70742,77.185762,"HDFC Banking_Correspondent, Near Model Town, North Delhi, Delhi NCR",891f19439ffff,1,True
ATM_AXIS_043,Axis Bank,Banking_Correspondent,28.714748,77.200728,"AXIS Banking_Correspondent, Near Model Town, North Delhi, Delhi NCR",891f194a8ffff,3,True
ATM_AXIS_044,Axis Bank,ATM,28.704078,77.197507,"AXIS ATM, Near Model Town, North Delhi, Delhi NCR",891f19405ffff,1,True
ATM_UBI_045,Union Bank of India,Banking_Correspondent,28.719525,77.192462,"UBI Banking_Correspondent, Near Model Town, North Delhi, Delhi NCR",891f194f0ffff,0,True
ATM_BOB_046,Bank of Baroda,Banking_Correspondent,28.571156,77.238315,"BOB Banking_Correspondent, Near Lajpat Nagar, South Delhi, Delhi NCR",891f194beffff,1,True
ATM_SBI_047,State Bank of India,ATM,28.563622,77.233989,"SBI ATM, Near Lajpat Nagar, South Delhi, Delhi NCR",891f19439ffff,2,True
ATM_KOTAK_048,Kotak Mahindra Bank,Banking_Correspondent,28.575489,77.250218,"KOTAK Banking_Correspondent, Near Lajpat Nagar, South Delhi, Delhi NCR",891f194faffff,0,True
ATM_ICICI_049,ICICI Bank,Branch,28.559545,77.245678,"ICICI Branch, Near Lajpat Nagar, South Delhi, Delhi NCR",891f194f5ffff,1,True
ATM_PNB_050,Punjab National Bank,ATM,28.562502,77.244831,"PNB ATM, Near Lajpat Nagar, South Delhi, Delhi NCR",891f19424ffff,0,True
ATM_PNB_051,Punjab National Bank,ATM,28.576965,77.239047,"PNB ATM, Near Lajpat Nagar, South Delhi, Delhi NCR",891f1940fffff,0,True
ATM_PNB_052,Punjab National Bank,Branch,28.566222,77.248744,"PNB Branch, Near Lajpat Nagar, South Delhi, Delhi NCR",891f19468ffff,8,True
ATM_KOTAK_053,Kotak Mahindra Bank,Banking_Correspondent,28.566285,77.228662,"KOTAK Banking_Correspondent, Near Lajpat Nagar, South Delhi, Delhi NCR",891f19464ffff,4,True
ATM_AXIS_054,Axis Bank,ATM,28.561385,77.23843,"AXIS ATM, Near Lajpat Nagar, South Delhi, Delhi NCR",891f1941effff,1,True
ATM_HDFC_055,HDFC Bank,Branch,28.576789,77.214562,"HDFC Branch, Near South Extension, South Delhi, Delhi NCR",891f19406ffff,1,False
ATM_PNB_056,Punjab National Bank,ATM,28.566489,77.232773,"PNB ATM, Near South Extension, South Delhi, Delhi NCR",891f19468ffff,5,True
ATM_HDFC_057,HDFC Bank,ATM,28.568157,77.226005,"HDFC ATM, Near South Extension, South Delhi, Delhi NCR",891f19482ffff,1,True
ATM_PNB_058,Punjab National Bank,Branch,28.571628,77.219099,"PNB Branch, Near South Extension, South Delhi, Delhi NCR",891f194bbffff,0,True
ATM_AXIS_059,Axis Bank,Branch,28.569055,77.21001,"AXIS Branch, Near South Extension, South Delhi, Delhi NCR",891f19492ffff,1,True
ATM_BOB_060,Bank of Baroda,Branch,28.566719,77.226215,"BOB Branch, Near South Extension, South Delhi, Delhi NCR",891f19462ffff,0,True
ATM_AXIS_061,Axis Bank,Banking_Correspondent,28.571605,77.224862,"AXIS Banking_Correspondent, Near South Extension, South Delhi, Delhi NCR",891f194b0ffff,0,True
ATM_PNB_062,Punjab National Bank,ATM,28.560242,77.211109,"PNB ATM, Near South Extension, South Delhi, Delhi NCR",891f19403ffff,10,True
ATM_HDFC_063,HDFC Bank,Branch,28.566118,77.225114,"HDFC Branch, Near South Extension, South Delhi, Delhi NCR",891f19461ffff,1,True
ATM_PNB_064,Punjab National Bank,ATM,28.543433,77.228133,"PNB ATM, Near Greater Kailash, South Delhi, Delhi NCR",891f194f4ffff,3,True
ATM_PNB_065,Punjab National Bank,ATM,28.54669,77.244702,"PNB ATM, Near Greater Kailash, South Delhi, Delhi NCR",891f19424ffff,2,True
